customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2149-FWDWK,Female,0,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.88,225.61,Yes
7057-ETBFV,Female,1,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.0,70.77,Yes
0852-TDSZC,Male,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,76.58,746.43,No
2363-IAHGR,Female,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.19,1148.79,No
7088-RWJCG,Female,0,No,Yes,59,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),86.92,4849.73,Yes
9830-BAPLE,Female,0,No,No,43,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,77.54,3178.67,No
4688-CSPPC,Female,1,Yes,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.37,908.44,No
3757-AXTKQ,Female,0,No,No,50,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,86.69,4026.08,No
7357-TCPYC,Female,0,No,Yes,39,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),123.2,4645.49,Yes
8111-VCPID,Male,1,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.95,18.95,No
0304-PTXHG,Male,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),105.06,2239.06,No
2002-VWVNF,Male,0,Yes,No,0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),97.51,97.51,Yes
5257-BUAOA,Female,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.1,85.27,No
4232-QQLNU,Female,0,Yes,No,4,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),47.24,160.24,No
5284-XQNUC,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),100.16,6842.09,No
0346-ACRYJ,Male,0,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.0,1198.08,No
5927-NXROV,Female,1,Yes,No,68,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),82.98,5391.48,No
6191-ZQHAI,Female,1,Yes,No,0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,54.34,54.34,Yes
5696-ZCRYX,Female,0,Yes,No,72,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Electronic check,62.44,4243.08,No
9683-MTAHN,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.39,93.61,Yes
2611-WVSYZ,Female,0,Yes,No,60,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),82.96,4769.5,No
5995-QTJFO,Female,1,No,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),94.54,5937.27,No
5407-ULLEG,Male,1,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.42,1417.29,No
3532-WHTPM,Male,0,Yes,Yes,62,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),90.67,5351.99,Yes
1920-XSZWZ,Female,0,Yes,No,62,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),73.03,4307.89,No
4946-ILUAZ,Male,0,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),104.45, ,Yes
9015-PYHMU,Male,0,No,No,72,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,77.3,5288.99,No
0645-WCLZP,Female,0,No,No,3,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,91.96,154.01,No
2458-NEOQN,Male,0,No,No,59,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,93.82,5314.94,No
3499-PUGDA,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),102.75,6400.74,No
4699-VEDBT,Female,0,Yes,Yes,41,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,75.68,2995.29,No
9929-AXEMD,Male,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.53,1011.02,No
7610-TXLRC,Male,0,No,No,72,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,84.23,5797.54,No
0024-LCAAH,Male,0,No,Yes,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,102.56, ,No
9121-CWQZH,Female,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,81.67,518.57,Yes
9991-SIGDZ,Female,1,No,Yes,57,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,77.7,4162.11,No
4173-YUYDJ,Female,1,Yes,No,70,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),68.89,4573.17,No
4872-QCPDR,Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,119.42,3513.22,No
0676-ELQWM,Male,0,No,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.0,813.07,No
6828-QQTPY,Male,0,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.68,1004.23,No
5203-LISLI,Male,0,No,No,39,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),64.78,2393.72,No
6329-OPUEC,Female,0,No,Yes,5,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,101.7,487.6,No
8343-UWPYG,Female,0,No,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,1132.28,No
4996-NZECW,Male,0,Yes,No,2,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,70.82,185.1,Yes
1899-LQFGN,Female,0,Yes,No,37,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,86.46,3102.93,No
7981-ZBEEF,Female,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),21.32,851.7,No
2705-TQGYM,Male,0,No,No,16,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),83.77,1219.09,Yes
3352-LVGJZ,Male,0,Yes,Yes,1,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),92.58,92.58,No
2621-ZTHIG,Female,1,No,Yes,3,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,60.9,217.38,No
0280-YXAFU,Female,0,Yes,No,5,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,91.29,405.78,Yes
5945-UKEDC,Male,0,Yes,Yes,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,100.77,4110.02,Yes
2381-OIQNO,Female,0,Yes,No,33,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),98.36,3100.22,No
0455-CPWYK,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,95.71,5356.89,Yes
9757-UHZDZ,Male,0,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.42,1165.1,Yes
7914-IDVQI,Male,0,No,No,45,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,74.37,3167.99,No
0432-FRSEO,Female,0,No,Yes,59,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,78.23,4376.82,No
8197-RMEWX,Male,1,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.26,625.64,No
0501-OQKUZ,Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,79.7,79.7,No
8500-BICAU,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.09,1460.07,No
6504-EFCUW,Male,0,Yes,No,53,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),68.68,3462.55,Yes
4449-JSQUN,Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,97.76,4300.82,Yes
8023-AQHBH,Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,76.95,76.95,Yes
6991-VVCRL,Male,0,No,No,50,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),60.9,2957.44,No
0548-QPOWO,Male,0,Yes,Yes,29,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,70.16,1986.07,Yes
4412-GFBFR,Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,89.65,6112.48,No
1121-TYFAX,Female,0,No,No,68,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.61,5780.12,Yes
6920-EDJXQ,Male,0,No,No,72,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),85.03,5818.43,No
9037-EBFUB,Male,1,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),87.07,5870.13,No
2866-PKVPH,Male,0,No,Yes,72,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),58.31,4029.51,Yes
3737-YCCRZ,Male,0,Yes,No,72,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,75.16,5190.63,No
2244-RJVUF,Female,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),84.88,626.46,Yes
0489-NBQNZ,Male,0,Yes,No,14,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.48,1224.1,No
8988-VOXKP,Female,0,No,No,27,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,106.43,2778.76,No
0930-HQCTO,Male,0,Yes,Yes,46,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),56.27,2423.45,No
7596-NXBMZ,Female,0,Yes,No,18,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,87.11,1444.27,No
7262-OWNKO,Female,0,No,No,72,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),57.06,3844.24,Yes
1952-SOYWE,Female,0,No,Yes,18,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,67.87,1101.62,No
9680-GVZLY,Female,1,Yes,Yes,58,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),91.94,5190.57,Yes
0383-JCIMR,Female,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.42,566.32,No
3517-HQLSJ,Female,0,Yes,Yes,57,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),84.41,4550.15,No
8453-ZBXMF,Male,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.06,586.7,Yes
4804-VUFFW,Female,0,No,No,64,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,76.61,4632.29,No
3768-WCSHE,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),113.93,7888.69,Yes
3751-TKDOF,Male,0,Yes,No,60,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,74.07,4189.38,Yes
5075-SYBOK,Female,0,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.39,983.4,No
7924-FZVDS,Male,0,No,No,72,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,71.3,4856.57,Yes
3030-LOAZN,Female,1,Yes,No,44,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),76.06,3243.1,No
5432-AFRXJ,Female,0,Yes,No,43,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),84.64,3446.3,No
4691-MHBTA,Female,0,No,No,7,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),82.44,605.94,No
4808-KOXFW,Male,0,Yes,No,41,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,72.77,2785.7,Yes
2041-NUXKI,Female,0,Yes,No,57,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),68.9,3742.91,No
1220-HVHKI,Female,1,Yes,No,16,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,98.99,1403.21,No
4244-ESNZD,Male,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,124.19,No
8981-HHGHN,Female,0,No,Yes,15,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,77.18,1117.25,No
2506-OAYQA,Female,0,No,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,571.02,Yes
6147-HSGSF,Female,1,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,620.82,No
5262-HJTOO,Male,0,Yes,No,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Electronic check,103.74,177.06,No
0363-FYAEW,Female,0,Yes,No,28,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),92.91,2497.62,No
0351-JEJAV,Female,1,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,88.85,3492.65,No
5373-XOHEO,Female,0,Yes,No,71,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.39,7055.12,No
3122-DDZKE,Female,0,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,94.31,5356.36,No
3975-FHWOZ,Male,0,Yes,No,54,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.28,3884.97,No
9718-AOHKL,Female,0,No,No,4,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,74.49,281.69,No
3347-EHJQZ,Female,0,Yes,No,60,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),104.59,5992.77,No
8527-IVKWA,Male,0,No,Yes,72,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,98.99,6713.21,No
4493-VWYAV,Female,1,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,102.15,6273.3,No
6274-OIUIJ,Male,0,No,No,7,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),92.21,638.52,No
3849-ICTYZ,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,85.9,5818.08,Yes
5161-BQKLS,Male,0,No,Yes,67,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,67.28,4281.8,No
5786-TFUXA,Male,1,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.36,474.52,No
0591-UQGQT,Female,0,Yes,No,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.4,188.76,No
8035-VHQGA,Female,1,No,No,49,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,67.68,3150.81,Yes
6272-QMPHS,Female,0,Yes,No,66,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),73.56,4548.91,No
1021-BVQRF,Female,1,Yes,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.49,1443.0,Yes
2307-WGCJJ,Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,86.13,87.89,Yes
2106-WRGHA,Female,1,No,Yes,67,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),68.1,4371.89,No
8627-WHVYO,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),97.86,284.83,Yes
4220-OHBCX,Female,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,88.63,6078.81,Yes
7334-VUNWP,Female,0,Yes,No,59,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),67.1,3758.41,No
1696-AWUSP,Male,0,Yes,No,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),126.54,5491.27,Yes
2311-AOETK,Female,0,No,No,32,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,103.58,3157.86,No
9126-WLTEE,Female,1,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,27.71,250.53,No
5814-LCTZV,Male,0,No,Yes,14,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),86.73,1139.17,No
7097-NWQRS,Female,0,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.55,866.69,Yes
0871-MYGIV,Female,1,Yes,Yes,0,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),68.51, ,No
5399-MBWEK,Female,0,No,Yes,0,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),57.03, ,No
5149-DIFBQ,Male,1,Yes,Yes,6,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),94.88,620.74,Yes
4859-LWUJV,Female,1,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,87.3,1224.58,No
4857-BLMYU,Male,0,Yes,No,63,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),75.4,4541.71,No
6909-UZNBV,Male,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.3,946.73,Yes
0243-SZUKH,Female,1,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.44,879.36,No
3067-CVBWO,Female,0,No,No,58,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,64.43,3625.72,No
7554-XAZDO,Male,0,No,No,62,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),110.66,6486.41,Yes
3223-KQMKB,Female,1,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.88,1350.09,No
8914-IIHQA,Female,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.99,1272.23,No
8798-GCCRE,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.55,1486.37,No
2512-ELQQJ,Female,0,No,Yes,23,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,69.07,1513.66,Yes
8607-SHUQW,Female,0,Yes,Yes,2,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),102.31,219.87,Yes
4557-YRYLO,Male,0,No,No,28,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),92.61,2439.56,No
9899-PGQWZ,Male,1,No,No,63,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.14,4736.87,No
4596-NOUGI,Female,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,780.83,No
2716-RTGCR,Female,1,Yes,No,53,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,89.71,4535.22,No
9607-CLMBC,Male,0,Yes,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.97,1272.33,No
4796-WLGOX,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,81.41,4160.75,Yes
0358-MRAPM,Male,0,No,No,29,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),73.2,2024.39,Yes
